symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL,2025-11-18 14:30:00+00:00,269.99,270.71,269.3,270.58,1205057.0,17259.0,270.106224
AAPL,2025-11-18 14:31:00+00:00,270.53,270.57,269.31,269.35,248028.0,3959.0,269.739664
AAPL,2025-11-18 14:32:00+00:00,269.3585,269.67,269.0,269.575,321273.0,4959.0,269.273457
AAPL,2025-11-18 14:33:00+00:00,269.58,270.1089,269.256,269.36,236029.0,4244.0,269.628139
AAPL,2025-11-18 14:34:00+00:00,269.37,269.69,269.075,269.13,134684.0,2906.0,269.285463
AAPL,2025-11-18 14:35:00+00:00,269.14,269.5,268.8,269.325,203184.0,3389.0,269.126015
AAPL,2025-11-18 14:36:00+00:00,269.29,269.7,269.28,269.49,166065.0,2896.0,269.527765
AAPL,2025-11-18 14:37:00+00:00,269.48,269.72,269.2237,269.26,134024.0,2310.0,269.519634
AAPL,2025-11-18 14:38:00+00:00,269.29,269.455,268.52,268.6821,138121.0,2349.0,269.067685
AAPL,2025-11-18 14:39:00+00:00,268.68,268.99,268.41,268.52,149492.0,2428.0,268.694676
AAPL,2025-11-18 14:40:00+00:00,268.5,268.505,267.94,268.465,179769.0,2883.0,268.192566
AAPL,2025-11-18 14:41:00+00:00,268.5,268.78,267.99,268.05,108769.0,2250.0,268.485221
AAPL,2025-11-18 14:42:00+00:00,268.06,268.19,267.74,267.88,167420.0,3274.0,267.935463
AAPL,2025-11-18 14:43:00+00:00,267.945,268.11,267.63,268.06,199449.0,3392.0,267.823065
AAPL,2025-11-18 14:44:00+00:00,268.075,268.13,267.75,267.8,192219.0,3047.0,267.881704
AAPL,2025-11-18 14:45:00+00:00,267.8,268.71,267.68,268.631,262499.0,4574.0,268.304848
AAPL,2025-11-18 14:46:00+00:00,268.62,268.7263,268.23,268.3,135116.0,2519.0,268.440928
AAPL,2025-11-18 14:47:00+00:00,268.2701,268.39,267.66,267.6934,120603.0,2895.0,268.059513
AAPL,2025-11-18 14:48:00+00:00,267.7286,267.76,267.25,267.43,188714.0,4007.0,267.434108
AAPL,2025-11-18 14:49:00+00:00,267.45,267.57,266.7,266.815,159449.0,4006.0,267.038708
AAPL,2025-11-18 14:50:00+00:00,266.83,267.21,266.45,267.1999,165810.0,3559.0,266.748893
AAPL,2025-11-18 14:51:00+00:00,267.165,267.35,266.74,266.74,115291.0,2834.0,267.084317
AAPL,2025-11-18 14:52:00+00:00,266.74,266.96,266.66,266.7,118744.0,2964.0,266.784429
AAPL,2025-11-18 14:53:00+00:00,266.74,266.96,266.68,266.76,143750.0,3312.0,266.827938
AAPL,2025-11-18 14:54:00+00:00,266.76,266.93,266.575,266.7654,136642.0,3108.0,266.753869
