Datetime,Open,High,Low,Close,Volume
2025-11-18 04:50:00+00:00,89778.0,89847.09,89434.0,89469.99,32.64113998
2025-11-18 04:51:00+00:00,89469.44,89614.1,89418.13,89460.0,20.13032096
2025-11-18 04:52:00+00:00,89461.92,89534.0,89452.75,89500.01,5.8524478
2025-11-18 04:53:00+00:00,89500.03,89500.03,89388.0,89388.0,7.68236342
2025-11-18 04:54:00+00:00,89387.63,89580.73,89362.04,89544.01,16.17488931
2025-11-18 04:55:00+00:00,89545.95,89633.43,89469.97,89633.38,26.15021407
2025-11-18 04:56:00+00:00,89633.37,89855.73,89605.72,89839.3,26.40557591
2025-11-18 04:57:00+00:00,89840.0,89955.97,89810.19,89911.02,12.78397248
2025-11-18 04:58:00+00:00,89906.11,90072.97,89900.51,90021.98,27.48378761
2025-11-18 04:59:00+00:00,90014.0,90039.15,89953.97,89972.0,7.09214341
2025-11-18 05:00:00+00:00,89978.34,90039.38,89910.0,89946.0,8.29054191
2025-11-18 05:01:00+00:00,89945.99,89984.54,89808.0,89827.96,9.75899647
2025-11-18 05:02:00+00:00,89824.47,89844.0,89649.76,89667.98,14.1929422
2025-11-18 05:03:00+00:00,89669.84,89739.05,89598.06,89719.4,14.25152952
2025-11-18 05:04:00+00:00,89719.39,89842.03,89682.0,89829.51,13.50893822
2025-11-18 05:05:00+00:00,89838.0,89892.4,89784.74,89892.4,9.72541622
2025-11-18 05:06:00+00:00,89892.39,89962.0,89871.6,89920.0,22.29683157
2025-11-18 05:07:00+00:00,89925.99,90013.38,89910.99,89986.0,11.09116007
2025-11-18 05:08:00+00:00,89987.66,90000.0,89911.71,90000.0,10.12747756
2025-11-18 05:09:00+00:00,90000.0,90000.0,89860.09,89860.09,5.9300536
2025-11-18 05:10:00+00:00,89860.09,89949.98,89818.3,89946.0,9.22292472
2025-11-18 05:11:00+00:00,89947.71,90029.01,89944.01,89984.06,10.31667987
2025-11-18 05:12:00+00:00,89984.12,90095.98,89905.99,90044.03,12.75847701
2025-11-18 05:13:00+00:00,90044.03,90150.37,90035.18,90147.66,47.81445879
2025-11-18 05:14:00+00:00,90153.54,90164.74,90120.51,90130.51,4.19573944
2025-11-18 05:15:00+00:00,90135.56,90146.01,90065.95,90095.07,3.74212317
2025-11-18 05:16:00+00:00,90095.04,90187.64,90092.07,90183.99,17.86399638
2025-11-18 05:17:00+00:00,90183.99,90219.82,90162.31,90168.48,8.74209953
2025-11-18 05:18:00+00:00,90171.27,90201.72,90074.71,90181.23,7.06414597
2025-11-18 05:19:00+00:00,90181.24,90199.86,90149.16,90163.99,5.53832786
2025-11-18 05:20:00+00:00,90165.6,90237.03,90143.73,90154.35,5.27261733
2025-11-18 05:21:00+00:00,90158.23,90254.27,90158.23,90224.02,7.91737377
2025-11-18 05:22:00+00:00,90224.01,90376.9,90201.73,90305.43,17.07638266
2025-11-18 05:23:00+00:00,90304.66,90336.0,90226.83,90248.98,11.40065089
2025-11-18 05:24:00+00:00,90245.88,90285.29,90236.82,90267.97,7.45549084
2025-11-18 05:25:00+00:00,90267.97,90300.0,90219.01,90232.39,7.92909478
2025-11-18 05:26:00+00:00,90232.38,90232.38,90081.63,90115.55,11.06135335
2025-11-18 05:27:00+00:00,90101.76,90118.5,90043.93,90077.3,7.63113145
2025-11-18 05:28:00+00:00,90079.97,90136.02,90074.71,90135.54,4.2985473
2025-11-18 05:29:00+00:00,90135.55,90135.55,90070.7,90082.0,5.09461893
2025-11-18 05:30:00+00:00,90082.0,90127.12,90057.18,90077.57,3.99781998
2025-11-18 05:31:00+00:00,90077.57,90131.64,90052.48,90063.4,2.23549424
2025-11-18 05:32:00+00:00,90065.98,90122.86,90063.99,90069.85,2.40180619
2025-11-18 05:33:00+00:00,90070.94,90172.05,90053.47,90168.0,8.92360291
2025-11-18 05:34:00+00:00,90166.68,90212.0,90150.0,90207.98,3.59236134
2025-11-18 05:35:00+00:00,90207.98,90282.02,90178.0,90194.02,8.25522892
2025-11-18 05:36:00+00:00,90192.97,90192.97,90084.0,90090.08,6.43089271
2025-11-18 05:37:00+00:00,90092.01,90174.13,90092.01,90133.99,4.15209443
2025-11-18 05:38:00+00:00,90135.72,90186.13,90012.89,90012.89,8.57835167
2025-11-18 05:39:00+00:00,90019.98,90019.98,89895.13,89956.0,17.47463948
2025-11-18 05:40:00+00:00,89953.99,90000.0,89919.9,89941.29,4.9959304
2025-11-18 05:41:00+00:00,89940.02,89952.05,89896.02,89932.74,5.81903639
2025-11-18 05:42:00+00:00,89932.74,89961.68,89917.68,89927.57,6.38459529
2025-11-18 05:43:00+00:00,89927.55,89927.56,89807.01,89816.96,5.33142979
2025-11-18 05:44:00+00:00,89822.34,89937.61,89816.29,89900.0,5.10596905
2025-11-18 05:45:00+00:00,89912.64,89973.93,89912.64,89951.98,6.79541015
2025-11-18 05:46:00+00:00,89956.0,89991.01,89944.0,89962.0,4.1185646
2025-11-18 05:47:00+00:00,89964.35,90146.2,89956.44,90127.71,9.27554154
2025-11-18 05:48:00+00:00,90131.63,90176.11,90073.37,90170.81,3.24453846
2025-11-18 05:49:00+00:00,90170.81,90195.06,90134.0,90150.97,6.27429251
2025-11-18 05:50:00+00:00,90149.2,90258.66,90144.77,90250.58,12.30506749
2025-11-18 05:51:00+00:00,90250.01,90250.01,90152.33,90162.47,5.89087757
