timestamp,datetime,component,shared_memory_mb,process_memory_mb,shared_memory_name
1762655576.372519,2025-11-08 20:32:56,ORDERBOOK,0.015625,92.65625,G8_Shared_Prcie_Book
1762655576.6283588,2025-11-08 20:32:56,ORDERBOOK,0.015625,92.65625,G8_Shared_Prcie_Book
1762655576.8781388,2025-11-08 20:32:56,ORDERBOOK,0.015625,92.671875,G8_Shared_Prcie_Book
1762655577.124484,2025-11-08 20:32:57,ORDERBOOK,0.015625,90.546875,G8_Shared_Prcie_Book
1762655577.374502,2025-11-08 20:32:57,ORDERBOOK,0.015625,90.546875,G8_Shared_Prcie_Book
1762655577.626132,2025-11-08 20:32:57,ORDERBOOK,0.015625,90.546875,G8_Shared_Prcie_Book
1762655577.8785229,2025-11-08 20:32:57,ORDERBOOK,0.015625,90.546875,G8_Shared_Prcie_Book
1762655578.1238751,2025-11-08 20:32:58,ORDERBOOK,0.015625,90.546875,G8_Shared_Prcie_Book
1762655578.381202,2025-11-08 20:32:58,ORDERBOOK,0.015625,90.5625,G8_Shared_Prcie_Book
1762655578.6390111,2025-11-08 20:32:58,ORDERBOOK,0.015625,90.5625,G8_Shared_Prcie_Book
1762655578.894162,2025-11-08 20:32:58,ORDERBOOK,0.015625,90.5625,G8_Shared_Prcie_Book
1762655579.143596,2025-11-08 20:32:59,ORDERBOOK,0.015625,90.5625,G8_Shared_Prcie_Book
1762655579.3960419,2025-11-08 20:32:59,ORDERBOOK,0.015625,90.5625,G8_Shared_Prcie_Book
1762655579.647999,2025-11-08 20:32:59,ORDERBOOK,0.015625,90.5625,G8_Shared_Prcie_Book
1762655579.895398,2025-11-08 20:32:59,ORDERBOOK,0.015625,90.21875,G8_Shared_Prcie_Book
1762655580.1440818,2025-11-08 20:33:00,ORDERBOOK,0.015625,90.21875,G8_Shared_Prcie_Book
1762655580.381254,2025-11-08 20:33:00,ORDERBOOK,0.015625,90.21875,G8_Shared_Prcie_Book
1762655580.627564,2025-11-08 20:33:00,ORDERBOOK,0.015625,90.21875,G8_Shared_Prcie_Book
1762655580.8802402,2025-11-08 20:33:00,ORDERBOOK,0.015625,90.21875,G8_Shared_Prcie_Book
